Analysis_status,Subgroup_variable,Level,N,Events,Prevalence,Missing_subgroup_value_N,AUROC,AUROC_CI_lower,AUROC_CI_upper,AUROC_bootstrap_valid,AUPRC,AUPRC_CI_lower,AUPRC_CI_upper,AUPRC_bootstrap_valid,Brier,Brier_CI_lower,Brier_CI_upper,Brier_bootstrap_valid,LogLoss,LogLoss_CI_lower,LogLoss_CI_upper,LogLoss_bootstrap_valid,Calibration_intercept,Calibration_intercept_CI_lower,Calibration_intercept_CI_upper,Calibration_intercept_bootstrap_valid,Calibration_slope,Calibration_slope_CI_lower,Calibration_slope_CI_upper,Calibration_slope_bootstrap_valid
post-freeze exploratory/supportive,Overall,All,1337,389,0.29094988780852654,0,0.8110214441443493,0.7849436042456325,0.8369019802642326,2000,0.6754593236524882,0.6271119124176432,0.7226295797795865,2000,0.14929884051124392,0.13708778982297162,0.16144131690190028,2000,0.4625601436382959,0.429839684314316,0.4949599867258385,2000,-0.06779475693006305,-0.240315328906425,0.10866738784554647,2000,0.8691561221147338,0.7636581176851647,0.99253164328409,2000
post-freeze exploratory/supportive,Sex,Female,237,56,0.23628691983122363,0,0.7907458563535912,0.7191447843009798,0.8559475112764586,2000,0.6209341268469502,0.4970788915610585,0.7404529822924814,2000,0.13532330284034427,0.10739200326386712,0.1643584450144962,2000,0.43405337437214203,0.3562830707459802,0.5169008103887115,2000,-0.22997705576584057,-0.6439942597349552,0.2858582316118094,2000,0.8135200237012903,0.5879113737414028,1.1611904509408029,2000
post-freeze exploratory/supportive,Sex,Male,1100,333,0.30272727272727273,0,0.8133009149958302,0.7861937822112751,0.839319723198178,2000,0.686265085830412,0.6390926714661295,0.7348533965504467,2000,0.15230993362761047,0.13937168398159624,0.1658719492646847,2000,0.46870205665291276,0.4341310449323693,0.5046004451123252,2000,-0.040457829256331304,-0.2186904195233849,0.16254626587741255,2000,0.8775595774934246,0.764497264284758,1.0094663455421677,2000
post-freeze exploratory/supportive,Age,<60 years,990,308,0.3111111111111111,0,0.832173325208516,0.8041188824776806,0.8597972529675726,2000,0.7205804554377606,0.6716339836156364,0.7667053453653099,2000,0.14654762251810086,0.1331300839643973,0.16086559148664017,2000,0.4538135281318876,0.4182226594826494,0.4917826179552398,2000,0.03576194626168502,-0.15224642555963636,0.24222713720021843,2000,0.950980320074401,0.8281829768968486,1.0983471623966297,2000
post-freeze exploratory/supportive,Age,≥60 years,347,81,0.2334293948126801,0,0.7336396546922862,0.6716166588666589,0.790625775387604,2000,0.5070944063135244,0.40280593628841893,0.6163462638780163,2000,0.15714813680292017,0.131444803858339,0.18233055744876436,2000,0.48751446453554176,0.41845386870423523,0.5569922751256745,2000,-0.42395942111275514,-0.7694629206518735,-0.09321186287399676,2000,0.6334319463233702,0.4607593162464959,0.8424617316883602,2000
post-freeze exploratory/supportive,Connective_tissue_disorder,No,1286,354,0.27527216174183516,0,0.802444775829878,0.7749638107343001,0.8276909098050075,2000,0.6386891934811266,0.5860250083074413,0.6890650215337591,2000,0.148856665752867,0.1365103735394553,0.16129532707091399,2000,0.4621798855301755,0.4295373253635753,0.49535942130967464,2000,-0.0570992364702351,-0.2432896135167335,0.13555211032686135,2000,0.8775624856806665,0.7674036820004729,1.0021396982627504,2000
post-freeze exploratory/supportive,Connective_tissue_disorder,Yes,51,35,0.6862745098039216,0,0.8285714285714285,0.702266414141414,0.9325293010846644,2000,0.9223534900794416,0.8390007800310192,0.9764338933789711,2000,0.160448580496984,0.10282452132019008,0.22601440262085568,2000,0.47214861279599885,0.32035108368050086,0.6528379229926602,2000,-0.07709672325969764,-1.1790619845444024,0.6444484611745641,2000,0.7716237602638298,0.4172008117137627,1.5718952212410635,2000
