Model,Coverage,Selection_rule,N,Events,Prevalence,AUROC,AUPRC,Brier,LogLoss,Calibration_intercept,Calibration_slope,Random_AUROC_mean,Random_AUROC_Q025,Random_AUROC_Q975
Phenotype_only,1.0,Predictive_entropy,1337,389.0,0.29094988780852654,0.8110214441443493,0.6754593236524882,0.14929884051124392,0.462560143638296,-0.06779466854106653,0.8691561726756886,,,
Phenotype_only,1.0,Between_MI_SD,1337,389.0,0.29094988780852654,0.8110214441443493,0.6754593236524882,0.14929884051124392,0.4625601436382959,-0.06779474618220364,0.869156123038312,,,
Phenotype_only,1.0,Random_selection_reference,1337,,,,,,,,,0.8110214441443494,0.8110214441443493,0.8110214441443493
Phenotype_only,0.8,Predictive_entropy,1066,257.0,0.24108818011257035,0.8129794673733726,0.6782061361162743,0.12235310772664636,0.4011502486881941,-0.15244675596213658,0.8586791321358973,,,
Phenotype_only,0.8,Between_MI_SD,1066,313.0,0.29362101313320826,0.8357157101095088,0.717866638421089,0.1388828522729788,0.43627574810233805,0.022922590754374864,0.9250333930996829,,,
Phenotype_only,0.8,Random_selection_reference,1066,,,,,,,,,0.810805906659102,0.7971024599927425,0.8240027525541161
Phenotype_only,0.6,Predictive_entropy,799,170.0,0.2127659574468085,0.823071168053867,0.6805745389327272,0.10172170451752947,0.3507559379058329,-0.07228064591036162,0.8689844160181944,,,
Phenotype_only,0.6,Between_MI_SD,799,215.0,0.2690863579474343,0.8531857279388338,0.7407972292640638,0.12109928921190077,0.3925005613161633,-0.04664164286873103,0.9418939483954747,,,
Phenotype_only,0.6,Random_selection_reference,799,,,,,,,,,0.8114471620165955,0.7905247137198568,0.8328095680150807
Phenotype_only,0.4,Predictive_entropy,532,100.0,0.18796992481203006,0.8540972222222223,0.7095350129844497,0.08127784569546852,0.29643282905413415,-0.250833827550878,0.809981467430025,,,
Phenotype_only,0.4,Between_MI_SD,532,124.0,0.23308270676691728,0.872983870967742,0.7623309268934368,0.09660693808206337,0.3319396513116954,-0.20665212742856984,0.8898290252973771,,,
Phenotype_only,0.4,Random_selection_reference,532,,,,,,,,,0.8109817394721587,0.7764040682405707,0.8406828254608792
Phenotype_plus_observation,1.0,Predictive_entropy,1337,389.0,0.29094988780852654,0.8062732528499995,0.674102827138385,0.14984290650158127,0.4658148964402741,-0.09370644643260319,0.8499417963920896,,,
Phenotype_plus_observation,1.0,Between_MI_SD,1337,389.0,0.29094988780852654,0.8062732528499995,0.674102827138385,0.14984290650158127,0.4658148964402741,-0.09370643362101173,0.8499417930167772,,,
Phenotype_plus_observation,1.0,Random_selection_reference,1337,,,,,,,,,0.8062732528499995,0.8062732528499995,0.8062732528499995
Phenotype_plus_observation,0.8,Predictive_entropy,1066,263.0,0.24671669793621012,0.8101937127407203,0.678359483007462,0.1240674313711204,0.4073692581511536,-0.13547406234460174,0.8491490716034236,,,
Phenotype_plus_observation,0.8,Between_MI_SD,1066,311.0,0.29174484052532834,0.8348885245203466,0.7157151274093154,0.13827432840637013,0.43538129612400295,-0.03563213635972222,0.9201288420228311,,,
Phenotype_plus_observation,0.8,Random_selection_reference,1066,,,,,,,,,0.8062399518288041,0.7931571942675838,0.8200538928681426
Phenotype_plus_observation,0.6,Predictive_entropy,799,173.0,0.2165206508135169,0.8204953000055403,0.6847543253936431,0.10066156947048456,0.3506675290818936,-0.07838606622929238,0.8662975484356413,,,
Phenotype_plus_observation,0.6,Between_MI_SD,799,219.0,0.27409261576971217,0.8536608408124705,0.7439261557904104,0.12256921567507832,0.39601431529961223,-0.047683628422493386,0.9428944668088812,,,
Phenotype_plus_observation,0.6,Random_selection_reference,799,,,,,,,,,0.8067449099562626,0.7853432315083638,0.8272349640227585
Phenotype_plus_observation,0.4,Predictive_entropy,532,102.0,0.19172932330827067,0.8448016415868673,0.7162072672323321,0.0831038684624558,0.30435370943055523,-0.3331488054862105,0.777646511169834,,,
Phenotype_plus_observation,0.4,Between_MI_SD,532,133.0,0.25,0.8756289219288824,0.7774042068556993,0.09893605249096218,0.3386707549254121,-0.12183011209111216,0.9205003352193514,,,
Phenotype_plus_observation,0.4,Random_selection_reference,532,,,,,,,,,0.8051173221931766,0.769269422424326,0.836825581697533
