Scenario,N,Events,Prevalence,AUROC,AUPRC,Brier,LogLoss,Calibration_intercept,Calibration_slope,Delta_AUROC_vs_observed,Delta_AUROC_CI_lower,Delta_AUROC_CI_upper,Delta_Brier_vs_observed,Delta_Brier_CI_lower,Delta_Brier_CI_upper,Mean_absolute_probability_shift,Probability_shift_gt_010
Observed_workflow,1337,389,0.29094988780852654,0.8110214441443493,0.6754593236524882,0.14929884051124392,0.4625601436382959,-0.0677946839971802,0.869156142779551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emulate_2023_2024_missingness,1337,389,0.29094988780852654,0.8068915210482357,0.6652588213012101,0.1515330307284002,0.46812643773643303,-0.09759072382674717,0.8546868593119843,-0.004129923096113597,-0.009034101355966587,0.0007846601345830906,0.002234190217156262,0.00039967789296688135,0.004075174833459092,0.015234009254232135,0.035153328347045626
Worst_observed_year_missingness,1337,389,0.29094988780852654,0.7989245387393837,0.6561189306477591,0.1539922575303156,0.4755657715377426,-0.12612826224660637,0.8341668343342765,-0.012096905404965552,-0.018349556688724553,-0.006181418061087138,0.004693417019071666,0.002214851818630113,0.0071120122273774814,0.02780971576960796,0.06507105459985041
No_preoperative_echo_available,1337,389,0.29094988780852654,0.7298113739654855,0.5716726092464752,0.17569731619040993,0.5324769930682739,-0.3066977257443071,0.7898943575597678,-0.08121007017886384,-0.10044111452227368,-0.06304322164516062,0.026398475679166006,0.01894558824630854,0.03350449163079622,0.11632961011059438,0.43829468960359014
